string,betweenness,degree,eigen,reach,npaths,normBetwn,normDegree,normEigen,normReach,normPaths,betweenness_pval,degree_pval,eigen_pval,reach_pval,npaths_pval,source,symbol,netPropOrigin
9606.ENSP00000298910,111,31,0.408698368508209,0.316071428571429,216,13.9631846116658,7.42708333333333,24.3587124548539,9.52971799979388,25.875,0.601398601398601,0.03996003996004,0.146853146853147,0.004995004995005,0.247752247752248,inpath,LRRK2,protein_model
9606.ENSP00000360532,35,16,0.123965000052464,0.196428571428571,52,23.5129586861688,5.06260575296108,46.141808845858,10.2173624167788,13.6957746478873,0.0529470529470529,0.030969030969031,0.054945054945055,0.000999000999000999,0.003996003996004,inpath,CDC5L,atac_model
9606.ENSP00000446252,44,16,0.20331148136265,0.0910714285714286,58,10.1956063797773,8.8,29.4957764986328,11.2627293382226,11.0126582278481,0.012987012987013,0.000999000999000999,0.101898101898102,0.00999000999000999,0.000999000999000999,inpath,SOD2,protein_model
9606.ENSP00000307889,0,30,0.951820310041267,0.210714285714286,44,0,9.23809523809524,221.862614349634,10.4088565660112,9.99531615925059,0.0819180819180819,0.002997002997003,0.013986013986014,0.001998001998002,0.00799200799200799,ppi,RPL13,protein_model
9606.ENSP00000263857,39.1666666666667,8,0.099076252189222,0.0803571428571429,54,49.6555727554181,5.28813559322034,32.0064954839399,9.00587898597076,9.01283880171184,0.00599400599400599,0.004995004995005,0.013986013986014,0.001998001998002,0.000999000999000999,inpath,POLR1A,protein_model
9606.ENSP00000262030,40,11,0.0513273932958795,0.0785714285714286,54,9.24130773222624,3.92152466367713,1.25742579369346,2.77986245575517,8.72560975609756,0.015984015984016,0.038961038961039,0.10989010989011,0.032967032967033,0.011988011988012,inpath,ATP5B,protein_model
9606.ENSP00000388107,64.5,16,0.491192034585921,0.196428571428571,76,11.7970227249287,2.79926335174954,2.03314471036313,2.95681843288282,8.21387940841866,0.238761238761239,0.283716283716284,0.675324675324675,0.010989010989011,0.404595404595405,inpath,UBA52,protein_model
9606.ENSP00000346050,0,38,0.974663416242752,0.232142857142857,52,0,9.69016536118364,32.3018806140085,5.13979034413278,8.01472908995266,0.0959040959040959,0.000999000999000999,0.017982017982018,0.000999000999000999,0.000999000999000999,ppi,RPS3A,protein_model
9606.ENSP00000335153,39.5,12,0.125447278621996,0.217857142857143,64,2.00073770318331,2.3880266075388,3.62476203349514,3.73436886261238,7.8282793867121,0.253746253746254,0.154845154845155,0.211788211788212,0.020979020979021,0.126873126873127,inpath,HSP90AA1,protein_model
9606.ENSP00000261497,21,4,0.0464818929375963,0.0464285714285714,36,13.341847826087,1.11519198664441,5.73821188508959,1.97589608732227,7.73745173745174,0.106893106893107,0.0999000999000999,0.256743256743257,0.0949050949050949,0.048951048951049,inpath,USP22,methyl_model
9606.ENSP00000363676,31.5,13,0.564370823263732,0.180357142857143,26,14.9654275092936,4.62270450751252,178.13819355979,10.0818786896688,7.32539682539683,0.016983016983017,0.04995004995005,0.0809190809190809,0.00599400599400599,0.048951048951049,inpath,RPL11,protein_model
9606.ENSP00000362649,26.8333333333333,11,0.0109927645601429,0.0875,50,4.05369171408019,2.39209225700165,0.404036545843226,2.53118331017996,7.31707317073171,0.431568431568432,0.177822177822178,0.631368631368631,0.262737262737263,0.146853146853147,inpath,HDAC1,methyl_model
9606.ENSP00000346088,0,25,0.879284422260789,0.139285714285714,33,0,7.71604938271605,379.741517930511,6.46032555850364,7.25806451612903,0.0889110889110889,0.004995004995005,0.017982017982018,0.001998001998002,0.004995004995005,ppi,RPL22,protein_model
9606.ENSP00000053468,23,11,0.50138733234266,0.158928571428571,56,4.13104632593196,2.64413145539906,21.0069439115174,3.65816975230308,7.25322539843157,0.00799200799200799,0.041958041958042,0.051948051948052,0.000999000999000999,0.000999000999000999,inpath,MRPS10,protein_model
9606.ENSP00000269305,28.5,17,0.0739080634108919,0.216071428571429,60,7.692388704169,3.16697819314642,0.39303634055613,3.95501729451945,7.03253626029008,0.622377622377622,0.0599400599400599,0.502497502497502,0.034965034965035,0.373626373626374,inpath,TP53,methyl_model
9606.ENSP00000422626,14,15,0.235214796842008,0.241071428571429,28,4.90474652889892,7.82828282828283,57.7835964646043,26.4760825012935,7.01130856219709,0.406593406593407,0.056943056943057,0.271728271728272,0.000999000999000999,0.230769230769231,inpath,LARP7,protein_model
9606.ENSP00000418960,38,13,0.0419691681792303,0.15,52,72.6840764331209,1.98823529411765,0.188045112352328,2.71761958185659,6.96907216494845,0.124875124875125,0.0799200799200799,0.231768231768232,0.00999000999000999,0.044955044955045,inpath,BRCA1,methyl_model
9606.ENSP00000478303,26.8333333333333,6,0.0137408884156575,0.0660714285714286,34,187.833333333334,5.82352941176471,1.45035376472919,8.29417224122816,6.95454545454545,0.020979020979021,0.014985014985015,0.0849150849150849,0.00899100899100899,0.001998001998002,inpath,POLR2E,protein_model
9606.ENSP00000428338,0,3,0.00411824383637969,0.0214285714285714,32,0,1.00591715976331,0.787879596608035,1.25080187177379,6.88172043010753,0.041958041958042,0.000999000999000999,0.043956043956044,0.001998001998002,0.000999000999000999,crispr,SPSB2,
9606.ENSP00000392094,25.1666666666667,14,0.34203728054108,0.208928571428571,48,4.9199242080982,3.28215767634855,6.42954777203291,5.02194872363445,6.82264150943396,0.168831168831169,0.0539460539460539,0.294705294705295,0.00699300699300699,0.0769230769230769,inpath,EFTUD2,protein_model
9606.ENSP00000465099,0,2,0.00900369918929512,0.025,44,0,0.6368843069874,0.826285900329354,0.887122087863657,6.80690038953812,0.003996003996004,0.002997002997003,0.00899100899100899,0.000999000999000999,0.000999000999000999,crispr,POLR1G,
9606.ENSP00000299821,0,1,0.0040963315231086,0.0196428571428571,27,0,0.39344262295082,0.701646102912469,1.31740247182306,6.69421487603306,0.000999000999000999,0.002997002997003,0.021978021978022,0.00599400599400599,0.002997002997003,crispr,NCAPH2,methyl_model
9606.ENSP00000400467,74.6666666666667,14,0.543150523706765,0.153571428571429,50,13.4737102867406,3.54524714828897,21.7190313144235,5.13763251037686,6.34044173648134,0.00799200799200799,0.058941058941059,0.124875124875125,0.00999000999000999,0.004995004995005,inpath,RPL9,protein_model
9606.ENSP00000373772,0,3,0.0367715848613621,0.0482142857142857,22,0,1.37412587412587,10.3950769601352,3.58155016844817,5.96687370600414,0.017982017982018,0.020979020979021,0.051948051948052,0.004995004995005,0.000999000999000999,crispr,RNF20,
9606.ENSP00000351777,0,23,0.106820251800709,0.1875,32,0,6.35589672016748,8.13081089581197,5.64294182496942,5.83963133640553,0.836163836163836,0.024975024975025,0.167832167832168,0.001998001998002,0.133866133866134,ppi,VCP,protein_model
9606.ENSP00000292807,0,11,0.0374111134367373,0.116071428571429,46,0,2.68874928612222,2.31548564208675,2.97396672089729,5.66235260281852,0.525474525474525,0.027972027972028,0.10989010989011,0.020979020979021,0.011988011988012,crispr,AP2M1,protein_model
9606.ENSP00000485022,0,6,0.00741525558766648,0.05,20,0,2.8169014084507,0.615359594119532,4.02256204683328,5.61797752808989,0.000999000999000999,0.001998001998002,0.035964035964036,0.000999000999000999,0.000999000999000999,crispr,U2AF1,protein_model
